Original_Rank,Person_Name,In_Degree (被標記數),Out_Degree (主動標記數),Mutual_Follow (互標數),Network_Influence_Score,Betweenness_Centrality,ig_url,posts,Followers,Following,category
118,IFBB-Pro-Lin-Ching-Chieh-林敬傑,0,0,0,0.0,0.0,,1397,264414,326,運動健身
119,Bobo-TV,1,0,0,0.5025125628140703,0.0,https://www.instagram.com/bobo_kira/,1208,61964,168,寵物
120,嘎嫂二伯,49,122,1,24.623115577889447,0.0,https://www.instagram.com/2uncle987/,4245,774220,703,"旅遊,家庭母嬰"
121,找蔬食-Traveggo,0,0,0,0.0,0.0,https://www.instagram.com/traveggo/,495,176606,337,"美食料理,趣味搞笑"
122,我是阿樂-林妤臻,6,1,0,3.015075376884422,7.6e-05,https://www.instagram.com/alephant_0427/,2397,722582,1917,"遊戲電玩,表演藝術"
123,紀卜心-Kimi,1,5,1,0.5025125628140703,2.5e-05,https://www.instagram.com/eatzzz7/,5550,926658,869,"美妝保養,時尚潮流,旅遊"
124,台灣吧,0,2,0,0.0,0.0,https://www.instagram.com/taiwan_bar/,656,95629,176,"知識教育,理財創業"
125,Patti-Huang,0,0,0,0.0,0.0,https://www.instagram.com/pattihuang/,1485,154706,425,"美食料理,寵物,趣味搞笑"
126,強運少女日本日記RU-in-Japan/,0,0,0,0.0,0.0,https://www.instagram.com/kaoru_0409/,1265,155775,945,"旅遊,美食料理"
127,邱沁宜,0,0,0,0.0,0.0,https://www.instagram.com/daisy.chiu/,1109,53767,451,"理財創業,高階經理人"
128,阿淇博士-Dr.Achi,0,0,0,0.0,0.0,https://www.instagram.com/hithisisachi/,1457,43236,204,"美食料理,醫療健康,知識教育"
129,J-Bao賤葆,5,4,1,2.512562814070352,0.001624,https://www.instagram.com/jbao_5000/,331,415031,759,"趣味搞笑,旅遊"
130,這群人-董仔,10,0,0,5.025125628140704,0.0,https://www.instagram.com/donehannah/,4307,280507,2463,"表演藝術,趣味搞笑"
131,Ines-Wang,0,0,0,0.0,0.0,https://www.instagram.com/inesinesw/,5694,296216,813,"美妝保養,時尚潮流,帶貨分潤"
132,元-元,2,1,0,1.0050251256281406,0.0,https://www.instagram.com/1105ya/,1524,1106945,560,時尚潮流
133,史丹利視角的體育世界,0,0,0,0.0,0.0,https://www.instagram.com/stanley_sportslife/,395,34810,441,運動健身
134,豹子腿方昶詠,0,0,0,0.0,0.0,https://www.instagram.com/cyfang58/,1469,53635,719,運動健身
135,羅小白,0,0,0,0.0,0.0,https://www.instagram.com/swhite523/,1843,180589,607,表演藝術
136,阿慈車庫-Dream-garage,0,0,0,0.0,0.0,https://www.instagram.com/tzu_888/,504,123694,1493,汽機車
137,痘疤醫生---莊盈彥醫師,0,0,0,0.0,0.0,https://www.instagram.com/dr.acne_scar_queen/,2943,189848,259,"知識教育,醫療健康"
138,Men's-Game-玩物誌,1,0,0,0.5025125628140703,0.0,https://www.instagram.com/mensgametw/,1407,34159,629,3C科技
139,英雄日常Heroisme,0,0,0,0.0,0.0,https://www.instagram.com/20141010hero/,715,142634,94,遊戲電玩
140,飽妮,3,19,1,1.507537688442211,0.00033,https://www.instagram.com/bonibaobao/,941,214978,1114,影視評論
141,咪妃Julia,1,3,0,0.5025125628140703,2.5e-05,https://www.instagram.com/juliamisakii/,1800,432539,579,"遊戲電玩,表演藝術,趣味搞笑"
142,卡特-Kart,0,3,0,0.0,0.0,https://www.instagram.com/kart_wang/,1609,225861,1206,"美妝保養,時尚潮流"
143,囂搞-Shaogao,0,1,0,0.0,0.0,https://www.instagram.com/shaogao/,1705,322191,668,"表演藝術,趣味搞笑"
144,籃靖玟,0,0,0,0.0,0.0,https://www.instagram.com/lan0716/,411,538706,774,"旅遊,運動健身"
145,Peter-Su,0,0,0,0.0,0.0,https://www.instagram.com/peter825/,3594,668099,930,"旅遊,知識教育"
146,SMG-Sirenia海牛,0,0,0,0.0,0.0,https://www.instagram.com/manatee0701/,1237,159761,236,遊戲電玩
147,Coffee-Time,0,0,0,0.0,0.0,https://www.instagram.com/coffee_time_corgi/,6123,526230,1427,寵物
148,魯蛋的頻道,0,0,0,0.0,0.0,https://www.instagram.com/ruwenwen/,642,105955,138,遊戲電玩
